MemCellType,CellArea (F^2),CellAspectRatio,AccessType,AccessCMOSWidth (F),ResistanceOnAtSetVoltage (ohm),ResistanceOffAtSetVoltage (ohm),ResistanceOnAtResetVoltage (ohm),ResistanceOffAtResetVoltage (ohm),ResistanceOnAtReadVoltage (ohm),ResistanceOffAtReadVoltage (ohm),ResistanceOnAtHalfResetVoltage (ohm),CapacitanceOn (F),CapacitanceOff (F),ReadMode,ReadVoltage (V),ReadPower (uW),ResetMode,ResetVoltage (V),ResetPulse (ns),ResetEnergy (pJ),SetMode,SetVoltage (V),SetPulse (ns),SetEnergy (pJ),MemoryCellInputFile,DesignTarget,DeviceRoadmap,LocalWireType,LocalWireRepeaterType,LocalWireUseLowSwing,GlobalWireType,GlobalWireRepeaterType,GlobalWireUseLowSwing,Routing,InternalSensing,Temperature (K),BufferDesignOptimization,ProcessNode,OptimizationTarget,WordWidth (bit),Capacity (MB),Benchmark Name,Read Accesses,Write Accesses,Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Read BW Util,Write BW Util,Area (mm^2),Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Bits Per Cell
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,fbbfs_0.6_0.4,42000000.0,114000.0,169.17599999999996,6.063432,178.67143199999995,169.17599999999996,6.063432,32.545422,0.485184,4.026845637583893,0.12213641422549819,0.246714698,87.22,0.774891,4.256,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,spec_0.6_0.5,3700000.0,1380000.0,14.903599999999999,73.39944,91.73504,14.903599999999999,73.39944,2.8670967000000003,7.341600000000001,0.35474592521572396,1.478493435361294,0.246714698,87.22,0.774891,5.32,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,fbbfs_0.6_0.5,42000000.0,114000.0,169.17599999999996,6.063432,178.67143199999995,169.17599999999996,6.063432,32.545422,0.60648,4.026845637583893,0.12213641422549819,0.246714698,87.22,0.774891,5.32,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,spec_0.6_0.6,3700000.0,1380000.0,14.903599999999999,73.39944,91.73504,14.903599999999999,73.39944,2.8670967000000003,8.80992,0.35474592521572396,1.478493435361294,0.246714698,87.22,0.774891,6.384,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,fbbfs_0.6_0.6,42000000.0,114000.0,169.17599999999996,6.063432,178.67143199999995,169.17599999999996,6.063432,32.545422,0.727776,4.026845637583893,0.12213641422549819,0.246714698,87.22,0.774891,6.384,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,spec_0.6_0.7,3700000.0,1380000.0,14.903599999999999,73.39944,91.73504,14.903599999999999,73.39944,2.8670967000000003,10.27824,0.35474592521572396,1.478493435361294,0.246714698,87.22,0.774891,7.4479999999999995,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,fbbfs_0.6_0.7,42000000.0,114000.0,169.17599999999996,6.063432,178.67143199999995,169.17599999999996,6.063432,32.545422,0.849072,4.026845637583893,0.12213641422549819,0.246714698,87.22,0.774891,7.4479999999999995,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,spec_0.6_0.8,3700000.0,1380000.0,14.903599999999999,73.39944,91.73504,14.903599999999999,73.39944,2.8670967000000003,11.746559999999999,0.35474592521572396,1.478493435361294,0.246714698,87.22,0.774891,8.512,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,fbbfs_0.6_0.8,42000000.0,114000.0,169.17599999999996,6.063432,178.67143199999995,169.17599999999996,6.063432,32.545422,0.970368,4.026845637583893,0.12213641422549819,0.246714698,87.22,0.774891,8.512,4.028,53.188,3.432,1
 memristor, 53, 1.460000, CMOS, 6.000000, 100000, 10000000, 100000, 10000000, 1000000, 10000000, 500000, 1e-16, 1e-16, current, 0.400000, 0.160000, voltage, 2.0, 10, 0.6, voltage, 2.0, 10, 0.6, data/cell_cfgs/RRAM_default.cell, RAM, LOP, LocalAggressive, RepeatedNone, No, GlobalAggressive, RepeatedNone, No, H-tree, true, 350, balanced, 22, ReadEDP, 64, 1,spec_0.6_0.9,3700000.0,1380000.0,14.903599999999999,73.39944,91.73504,14.903599999999999,73.39944,2.8670967000000003,13.214879999999999,0.35474592521572396,1.478493435361294,0.246714698,87.22,0.774891,9.576,4.028,53.188,3.432,1
